,Name,Team,Age,height,weigth,college,Country,draft year,draft number,draft round,Games Played,pts,reb,ast,net rating,season,stat
49,Davion Mitchell,SAC,23,182.88,91.63,Baylor,USA,2021,1,9,75,11.5,2.2,4.2,-6,2021-22,0.2386666667
50,Derrick White,BOS,27,193.04,86.18,Colorado,USA,2017,1,29,75,13.2,3.5,4.9,4.9,2021-22,0.288
51,Reggie Jackson,LAC,32,187.96,94.35,Boston College,USA,2011,1,24,75,16.8,3.6,4.8,-1.3,2021-22,0.336
52,Trey Lyles,SAC,26,205.74,106.14,Kentucky,Canada,2015,1,12,75,10.5,5.1,1.2,-7.2,2021-22,0.224
53,Tyrese Maxey,PHI,21,187.96,90.72,Kentucky,USA,2020,1,21,75,17.5,3.2,4.3,3.6,2021-22,0.3333333333
54,LaMelo Ball,CHA,20,200.66,81.65,None,USA,2020,1,3,75,20.1,6.7,7.6,1.5,2021-22,0.4586666667
55,Keldon Johnson,SAS,22,198.12,99.79,Kentucky,USA,2019,1,29,75,17,6.1,2.1,2.1,2021-22,0.336
56,Monte Morris,DEN,27,187.96,83.01,Iowa State,USA,2017,2,51,75,12.6,3,4.4,6,2021-22,0.2666666667
57,Jarred Vanderbilt,MIN,23,205.74,97.07,Kentucky,USA,2018,2,41,74,6.9,8.4,1.3,5,2021-22,0.2243243243
58,JaVale McGee,PHX,34,213.36,122.47,Nevada-Reno,USA,2008,1,18,74,9.2,6.7,0.6,5.8,2021-22,0.222972973
59,Clint Capela,ATL,28,208.28,116.12,None,Switzerland,2014,1,25,74,11.1,11.9,1.2,3.3,2021-22,0.327027027
60,Jonas Valanciunas,NOP,30,210.82,120.2,None,Lithuania,2011,1,5,74,17.8,11.4,2.6,1.2,2021-22,0.4297297297
61,Scottie Barnes,TOR,20,200.66,102.06,Florida State,USA,2021,1,4,74,15.3,7.5,3.5,1.8,2021-22,0.3554054054
62,Kevin Love,CLE,33,203.2,113.85,UCLA,USA,2008,1,5,74,13.6,7.2,2.2,1.5,2021-22,0.3108108108
63,Kevin Huerter,ATL,23,200.66,89.81,Maryland,USA,2018,1,19,74,12.1,3.4,2.7,3.8,2021-22,0.2459459459
64,Josh Christopher,HOU,20,190.5,97.52,Arizona State,USA,2021,1,24,74,7.9,2.5,2,-9.2,2021-22,0.1675675676
65,Karl-Anthony Towns,MIN,26,210.82,112.49,Kentucky,USA,2015,1,1,74,24.6,9.8,3.6,5.3,2021-22,0.5135135135
66,Justin Holiday,SAC,33,198.12,81.65,Washington,USA,Undrafted,Undrafted,Undrafted,74,10.1,2.6,1.7,-5.1,2021-22,0.1945945946
67,Nikola Jokic,DEN,27,210.82,128.82,None,Serbia,2014,2,41,74,27.1,13.8,7.9,8.4,2021-22,0.6594594595
68,Andrew Wiggins,GSW,27,200.66,89.36,Kansas,Canada,2014,1,1,73,17.2,4.5,2.2,5.8,2021-22,0.3273972603
69,Andre Drummond,BKN,28,208.28,126.55,Connecticut,USA,2012,1,9,73,7.9,9.3,1.8,2.4,2021-22,0.2602739726
70,De'Anthony Melton,MEM,24,187.96,90.72,Southern California,USA,2018,2,46,73,10.8,4.5,2.7,5.6,2021-22,0.2465753425
71,Precious Achiuwa,TOR,22,203.2,102.06,Memphis,Nigeria,2020,1,20,73,9.1,6.5,1.1,1.9,2021-22,0.2287671233
72,Tobias Harris,PHI,29,200.66,102.51,Tennessee,USA,2011,1,19,73,17.2,6.8,3.5,3.2,2021-22,0.3767123288
73,Terry Rozier,CHA,28,185.42,86.18,Louisville,USA,2015,1,16,73,19.3,4.3,4.5,1.4,2021-22,0.3849315068
74,Tyus Jones,MEM,26,182.88,88.9,Duke,USA,2015,1,24,73,8.7,2.4,4.4,7.6,2021-22,0.2123287671
75,Juan Toscano-Anderson,GSW,29,198.12,94.8,Marquette,USA,Undrafted,Undrafted,Undrafted,73,4.1,2.4,1.7,2.9,2021-22,0.1123287671
76,Nikola Vucevic,CHI,31,208.28,117.93,Southern California,Montenegro,2011,1,16,73,17.6,11,3.2,-1.6,2021-22,0.4356164384
77,Mason Plumlee,CHA,32,210.82,115.21,Duke,USA,2013,1,22,73,6.5,7.7,3.1,0.9,2021-22,0.2369863014
78,John Konchar,MEM,26,195.58,95.25,Indiana-Purdue Fort Wayne,USA,Undrafted,Undrafted,Undrafted,72,4.8,4.6,1.5,2.7,2021-22,0.1513888889
79,Bobby Portis,MIL,27,208.28,113.4,Arkansas,USA,2015,1,22,72,14.6,9.1,1.2,6.3,2021-22,0.3458333333
80,Bruce Brown,BKN,25,193.04,91.63,Miami,USA,2018,2,42,72,9,4.8,2.1,-0.3,2021-22,0.2208333333
81,Anthony Edwards,MIN,20,193.04,102.06,Georgia,USA,2020,1,1,72,21.3,4.8,3.8,4,2021-22,0.4152777778
82,Alperen Sengun,HOU,19,208.28,110.22,None,Turkey,2021,1,16,72,9.6,5.5,2.6,-10.2,2021-22,0.2458333333
83,Daniel Gafford,WAS,23,205.74,106.14,Arkansas,USA,2019,2,38,72,9.4,5.7,0.9,-6.9,2021-22,0.2222222222
84,Julius Randle,NYK,27,203.2,113.4,Kentucky,USA,2014,1,7,72,20.1,9.9,5.1,-3.6,2021-22,0.4875
85,Obi Toppin,NYK,24,205.74,99.79,Dayton,USA,2020,1,8,72,9,3.7,1.1,6.9,2021-22,0.1916666667
86,Mitchell Robinson,NYK,24,213.36,108.86,Western Kentucky,USA,2018,2,36,72,8.5,8.6,0.5,-2.1,2021-22,0.2444444444
87,Mike Conley,UTA,34,185.42,79.38,Ohio State,USA,2007,1,4,72,13.7,3,5.3,7.7,2021-22,0.3055555556
88,Gary Payton II,GSW,29,190.5,88.45,Oregon State,USA,Undrafted,Undrafted,Undrafted,71,7.1,3.5,0.9,8.3,2021-22,0.161971831
89,Drew Eubanks,POR,25,205.74,111.13,Oregon State,USA,Undrafted,Undrafted,Undrafted,71,7.7,5.4,1.2,-12.8,2021-22,0.2014084507
90,Devin Vassell,SAS,21,195.58,90.72,Florida State,USA,2020,1,11,71,12.3,4.3,1.9,1,2021-22,0.2605633803
91,Isaiah Stewart,DET,21,203.2,113.4,Washington,USA,2020,1,16,71,8.3,8.7,1.2,-9.5,2021-22,0.2563380282
92,Cody Martin,CHA,26,198.12,92.99,Nevada-Reno,USA,2019,2,36,71,7.7,4,2.5,0.1,2021-22,0.2
93,P.J. Tucker,MIA,37,195.58,111.13,Texas-Austin,USA,2006,2,35,71,7.6,5.5,2.1,6.2,2021-22,0.214084507
94,Payton Pritchard,BOS,24,185.42,88.45,Oregon,USA,2020,1,26,71,6.2,1.9,2,2.2,2021-22,0.1422535211
95,Robert Covington,LAC,31,200.66,94.8,Tennessee State,USA,Undrafted,Undrafted,Undrafted,71,8.5,5.5,1.3,0.6,2021-22,0.2154929577
96,Will Barton,DEN,31,195.58,82.1,Memphis,USA,2012,2,40,71,14.7,4.8,3.9,2,2021-22,0.3295774648
97,Montrezl Harrell,CHA,28,200.66,108.86,Louisville,USA,2015,2,32,71,13.1,6.1,2,3,2021-22,0.2985915493
98,Mo Bamba,ORL,24,213.36,104.78,Texas-Austin,USA,2018,1,6,71,10.6,8.1,1.2,-9.6,2021-22,0.2802816901
99,Nemanja Bjelica,GSW,34,205.74,106.14,None,Serbia,2010,2,35,71,6.1,4.1,2.2,5.2,2021-22,0.1746478873
100,Marcus Smart,BOS,28,193.04,99.79,Oklahoma State,USA,2014,1,6,71,12.1,3.8,5.9,9.3,2021-22,0.3070422535
101,Gary Trent Jr.,TOR,23,195.58,94.8,Duke,USA,2018,2,37,70,18.3,2.7,2,3.3,2021-22,0.3285714286
102,Jaxson Hayes,NOP,22,210.82,99.79,Texas-Austin,USA,2019,1,8,70,9.3,4.5,0.6,0.5,2021-22,0.2057142857
103,Jaden McDaniels,MIN,21,205.74,83.91,Washington,USA,2020,1,28,70,9.2,4.2,1.1,0.6,2021-22,0.2071428571
104,Chuma Okeke,ORL,23,198.12,103.87,Auburn,USA,2019,1,16,70,8.6,5,1.7,-8.8,2021-22,0.2185714286
105,Jonathan Kuminga,GSW,19,200.66,102.06,None,DRC,2021,1,7,70,9.3,3.3,0.9,1.9,2021-22,0.1928571429
106,Raul Neto,WAS,30,187.96,81.65,None,Brazil,2013,2,47,70,7.5,1.9,3.1,-3.3,2021-22,0.1785714286
107,RJ Barrett,NYK,22,198.12,97.07,Duke,Canada,2019,1,3,70,20,5.8,3,-3.3,2021-22,0.4114285714
108,Lonnie Walker IV,SAS,23,193.04,92.53,Miami,USA,2018,1,18,70,12.1,2.6,2.2,-3,2021-22,0.2414285714
109,Luke Kennard,LAC,26,195.58,93.44,Duke,USA,2017,1,12,70,11.9,3.3,2.1,3.4,2021-22,0.2471428571
